School,Common name,Team,City,State,Type,Enrollment,Primary conference
New Mexico State University,New Mexico State,Aggies,Las Cruces,New Mexico,State,"24,041",Western Athletic Conference
University of New Mexico,New Mexico,Lobos,Albuquerque,New Mexico,State,"26,278",Mountain West Conference
New Jersey Institute of Technology,NJIT,Highlanders,Newark,New Jersey,State,"11,518",America East Conference
University of New Hampshire,New Hampshire,Wildcats,Durham,New Hampshire,State,"14,784",America East Conference
"University of Nevada, Reno",Nevada,Wolf Pack,Reno,Nevada,State,"21,657",Mountain West Conference
"University of Nevada, Las Vegas",UNLV,Rebels,Paradise,Nevada,State,"31,171",Mountain West Conference
University of Nebraska Omaha,Omaha,Mavericks,Omaha,Nebraska,State,"15,526",The Summit League
University of Nebraska–Lincoln,Nebraska,Cornhuskers,Lincoln,Nebraska,State,"25,820",Big Ten Conference
United States Naval Academy,Navy,Midshipmen,Annapolis,Maryland,Federal academy,"4,576",Patriot League
Murray State University,Murray State,Racers,Murray,Kentucky,State,"9,466",Ohio Valley Conference
Mount St. Mary's University,Mount St. Mary's,Mountaineers,Emmitsburg,Maryland,Private/Catholic,"2,240",Northeast Conference
Morgan State University,Morgan State,Bears and Lady Bears,Baltimore,Maryland,State,"7,698",Mid-Eastern Athletic Conference
Morehead State University,Morehead State,Eagles,Morehead,Kentucky,State,"9,660",Ohio Valley Conference
Montana State University,Montana State,Bobcats,Bozeman,Montana,State,"16,766",Big Sky Conference
University of Montana,Montana,Grizzlies,Missoula,Montana,State,"10,962",Big Sky Conference
Monmouth University,Monmouth,Hawks,West Long Branch,New Jersey,Private/Non-Sectarian,"6,167",Metro Atlantic Athletic Conference
Missouri State University,Missouri State,Bears and Lady Bears,Springfield,Missouri,State,"23,450",Missouri Valley Conference
University of Missouri–Kansas City,Kansas City,Roos,Kansas City,Missouri,State,"16,944",The Summit League
University of Missouri,Missouri,Tigers,Columbia,Missouri,State,"30,046",Southeastern Conference
Mississippi Valley State University,Mississippi Valley State,Delta Devils and Devilettes,Itta Bena,Mississippi,State,"2,406",Southwestern Athletic Conference
Mississippi State University,Mississippi State,Bulldogs,Starkville,Mississippi,State,"22,226",Southeastern Conference
University of Mississippi,Ole Miss,Rebels,Oxford,Mississippi,State,"23,258",Southeastern Conference
University of Minnesota,Minnesota,Golden Gophers,Minneapolis–Saint Paul,Minnesota,State,"49,148",Big Ten Conference
Middle Tennessee State University,Middle Tennessee,Blue Raiders,Murfreesboro,Tennessee,State,"21,913",Conference USA
Michigan State University,Michigan State,Spartans,East Lansing,Michigan,State,"49,809",Big Ten Conference
University of Michigan,Michigan,Wolverines,Ann Arbor,Michigan,State,"46,002",Big Ten Conference
Miami University,Miami (OH),Redhawks,Oxford,Ohio,State,"19,752",Mid-American Conference
University of Miami,Miami (FL),Hurricanes,Coral Gables,Florida,Private/Non-Sectarian,"17,811",Atlantic Coast Conference
