RegionID,SizeRank,RegionName,RegionType,StateName,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021
395053,50,"Salt Lake City, UT",Msa,UT,418995,416895,420046,420046,440943,450499,451444,449764,451549,446193,440943,430022,427318,430442,430442,440943,451549,470764,472551,472551,466146,461000,455749,451549,461945,467301,482002,495531,501849,482002,495654,513506,524007,519806,522957,511798,525057,546059,,,,
395031,51,"Rochester, NY",Msa,NY,184834,184834,190273,205613,215513,223019,228350,227371,213228,209420,206592,201260,198977,206592,216492,233897,244777,257723,255547,255547,252392,244668,228350,217471,213119,206592,217471,244668,257351,271866,271866,271974,277414,270778,247388,245756,244777,267188,269900,285000,277000,269000
394640,52,"Grand Rapids, MI",Msa,MI,241355,246089,260292,274495,283963,293527,293432,293432,283111,269855,265026,269761,269761,274495,274590,283963,298261,307635,302995,298166,291633,283963,283111,274580,273643,273643,283111,293432,302901,311990,312369,321933,321933,320986,312369,315000,320400,325000,329900,349900,349900,349990
395167,53,"Tucson, AZ",Msa,AZ,271692,271692,276716,281945,289634,295273,296811,291069,292197,296298,297221,296298,292197,292710,296298,302450,307576,317726,317777,307575,307063,306551,307063,306551,306551,306551,307571,317829,322955,312600,328081,347561,358736,358736,342435,337308,347561,347561,349900,360480,385000,395000
753924,54,"Urban Honolulu, HI",Msa,HI,865529,877444,904526,896943,870945,865529,866612,876361,865529,877444,888277,865529,861195,864987,876361,861195,854696,844947,854696,865529,873111,865529,865529,877444,893693,897485,893693,907776,893693,876361,877444,902360,920667,969522,974937,974697,973855,995399,,,,
395169,55,"Tulsa, OK",Msa,OK,202503,200025,200121,204885,214320,218703,219084,217274,214415,214415,214415,214414,214415,214320,216797,223944,233474,238143,245862,238239,239192,238239,246720,247673,247768,247768,243480,247768,257298,262063,274356,284933,285886,285885,285886,289000,287545,288800,294900,297000,335000,325000
394619,56,"Fresno, CA",Msa,CA,335090,339215,335090,329935,339215,345401,349525,349345,349525,340142,337152,335606,334987,329935,328801,329832,336539,350453,360815,370146,371177,360867,360867,359835,350555,355711,356639,359835,371177,370146,379528,391035,400562,401077,396953,392819,401077,391798,393468,398500,399500,420910
395238,57,"Worcester, MA",Msa,MA,312443,312443,312443,328175,333279,353178,362544,363492,363597,355262,353178,343698,338593,336509,338489,348907,369847,385371,390684,394851,385371,374952,368806,364638,364534,364534,364534,369743,395789,410479,416625,437462,437462,422980,416625,411416,411510,416730,,,,
394415,58,"Stamford, CT",Msa,CT,778366,778366,850764,917491,939733,921939,933060,909150,884127,850764,844091,845204,832970,833971,844091,884127,888576,884127,873006,833971,822961,806280,810728,822850,811840,828522,832970,875787,877455,873006,917379,944181,945293,950743,928612,944181,943069,945182,950000,1185000,1148500,1095000
394312,59,"Albuquerque, NM",Msa,NM,248900,247000,249000,250000,259900,269900,270000,269900,260000,259777,255000,259500,259000,259000,259900,269900,279000,284500,285000,287656,288843,285900,285000,285000,284000,282900,290000,304900,310000,315000,330000,349000,350000,350000,350000,339900,335000,336990,345000,345000,365000,365000
394308,60,"Albany, NY",Msa,NY,234624,237899,244559,250018,251001,250018,251001,260936,261918,261918,259298,261918,261918,260936,260936,261918,268469,272836,272836,272945,278404,272834,266395,269670,269670,267377,261918,271379,281025,284082,294672,315525,325242,315525,,302439,296072,296072,,,,
394938,61,"Omaha, NE",Msa,NE,271064,276135,281055,295716,301238,312409,311154,302795,301238,300937,293659,283064,281055,286176,291147,308363,326342,330358,326342,321321,321321,312886,300234,290193,289590,291197,298728,314292,319676,317626,326342,331362,330509,326342,319054,320790,318138,323442,325000,340000,345900,349000
394908,62,"New Haven, CT",Msa,CT,295250,292000,299900,315000,329900,345000,339900,348000,339900,329900,329000,324900,315000,309000,310000,320000,330000,340000,339000,339000,329000,321900,315000,319900,319000,315000,315000,324900,336000,339000,360000,379900,394900,379900,364900,350000,349000,338900,349900,359900,380000,399000
